ÖÝ/µØÇø,Sine layer order,PID order,PID depth rank,Shift
AK,5,22,13,17
AL,22,42,28,20
AR,41,20,17,-21
AS,34,53,50,19
AZ,9,8,41,-1
CA,56,56,56,0
CO,11,10,37,-1
CT,42,40,24,-2
DC,49,39,22,-10
DE,46,26,5,-20
FL,1,55,54,54
GA,14,50,44,36
GU,35,48,40,13
HI,45,38,20,-7
IA,18,35,14,17
ID,38,30,4,-8
IL,15,54,52,39
IN,2,12,33,10
KS,6,24,9,18
KY,17,11,35,-6
LA,24,17,23,-7
MA,43,9,39,-34
MD,50,15,27,-35
ME,37,21,15,-16
MI,20,6,45,-14
MN,39,44,32,5
MO,27,43,30,16
MP,33,4,49,-29
MS,29,34,12,5
MT,31,27,3,-4
NC,16,3,51,-13
ND,36,29,2,-7
NE,30,28,1,-2
NH,3,32,8,29
NJ,10,51,46,41
NM,28,31,6,3
NV,51,23,11,-28
NY,40,2,53,-38
OH,26,52,48,26
OK,53,19,19,-34
OR,23,16,25,-7
PA,13,5,47,-8
PR,8,13,31,5
RI,52,33,10,-19
SC,12,14,29,2
SD,4,25,7,21
TN,25,45,34,20
TX,55,1,55,-54
UT,7,37,18,30
VA,21,49,42,28
VI,48,7,43,-41
VT,47,41,26,-6
WA,44,47,38,3
WI,54,46,36,-8
WV,19,36,16,17
WY,32,18,21,-14
